pfr_player_id,pfr_player_name,team,season,pos_group,tier,is_hit,player_return,avg_snap_pct,sharpe_elite,is_filled,is_need,need_bonus,filled_penalty,sharpe_adjusted
ClowJa00,Jadeveon Clowney,HOU,2014,EDGE,Top 10,FALSE,0.22162803052255386,0.5622058823529412,0.265142802793857,FALSE,TRUE,0,0,0.265142802793857
RobiGr01,Greg Robinson,LA,2014,OT,Top 10,FALSE,0.19474657534246573,0.7025,0.183805236207038,FALSE,TRUE,0,0,0.183805236207038
BortBl00,Blake Bortles,JAX,2014,QB,Top 10,TRUE,0.7502691507471154,0.9464705882352941,0.37407124048736107,FALSE,TRUE,0,0,0.37407124048736107
WatkSa00,Sammy Watkins,BUF,2014,WR,Top 10,TRUE,0.2640992647058823,0.663235294117647,0.03548229674290931,TRUE,FALSE,0,-0.017741148371454653,0.017741148371454653
MackKh00,Khalil Mack,LV,2014,EDGE,Top 10,TRUE,0.44721230561189995,0.854264705882353,0.265142802793857,FALSE,TRUE,0,0,0.265142802793857
MattJa00,Jake Matthews,ATL,2014,OT,Top 10,TRUE,0.35041095890410956,0.9700000000000001,0.183805236207038,TRUE,FALSE,0,-0.091902618103519,0.091902618103519
EvanMi00,Mike Evans,TAM,2014,WR,Top 10,TRUE,0.33389062500000005,0.7557352941176472,0.03548229674290931,TRUE,FALSE,0,-0.017741148371454653,0.017741148371454653
GilbJu00,Justin Gilbert,CLE,2014,CB,Top 10,FALSE,0.028743624617477048,0.08573529411764706,-0.6077512429479659,FALSE,TRUE,0.30387562147398295,0,-0.30387562147398295
BarrAn00,Anthony Barr,MIN,2014,LB,Top 10,TRUE,0.1842041822509351,0.8439705882352943,-0.7813094655693499,TRUE,FALSE,0,0,-0.7813094655693499
EbroEr00,Eric Ebron,DET,2014,TE,Top 10,TRUE,0.1371597268120731,0.5348529411764704,-0.8216691790024073,FALSE,TRUE,0.41083458950120366,0,-0.41083458950120366
LewaTa00,Taylor Lewan,TEN,2014,OT,Late 1st,TRUE,0.3370616438356163,0.7577941176470587,0.5624288068243084,FALSE,TRUE,0,0,0.5624288068243084
BeckOd00,Odell Beckham Jr.,NYG,2014,WR,Late 1st,TRUE,0.3423382352941176,0.6517647058823529,0.12050516789925936,FALSE,TRUE,0,0,0.12050516789925936
DonaAa00,Aaron Donald,LA,2014,DL,Late 1st,TRUE,0.42126634594358175,0.7067647058823527,0.2309999195681216,FALSE,TRUE,0,0,0.2309999195681216
FullKy00,Kyle Fuller,CHI,2014,CB,Late 1st,FALSE,0.3212577354641278,0.6548529411764705,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
ShazRy00,Ryan Shazier,PIT,2014,LB,Late 1st,FALSE,0.12014450867052022,0.6113235294117647,-0.8036273004092015,TRUE,FALSE,0,0,-0.8036273004092015
MartZa00,Zack Martin,DAL,2014,IOL,Late 1st,TRUE,0.2559745649263721,0.9720588235294116,-0.7109611026659682,TRUE,FALSE,0,0,-0.7109611026659682
MoslC.00,C.J. Mosley,BAL,2014,LB,Late 1st,TRUE,0.2767817069024141,0.9232352941176469,-0.8036273004092015,FALSE,TRUE,0.40181365020460075,0,-0.40181365020460075
PryoCa00,Calvin Pryor,NYJ,2014,CB,Late 1st,FALSE,0.23790037402244135,0.5019117647058824,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
JameJa01,Ja'Wuan James,MIA,2014,OT,Late 1st,FALSE,0.26821394037066876,0.6704411764705882,0.5624288068243084,TRUE,FALSE,0,-0.2812144034121542,0.2812144034121542
CookBr00,Brandin Cooks,NOR,2014,WR,Late 1st,TRUE,0.37988511029411764,0.7336764705882354,0.12050516789925936,TRUE,FALSE,0,-0.06025258394962968,0.06025258394962968
ClinHa00,Ha Ha Clinton-Dix,GNB,2014,CB,Late 1st,TRUE,0.47858891533492015,1.0097058823529412,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
ManzJo00,Johnny Manziel,CLE,2014,QB,Late 1st,FALSE,0.104870436920749,0.12544117647058822,-0.01464865016940941,TRUE,FALSE,0,0,-0.01464865016940941
FordDe00,Dee Ford,KAN,2014,EDGE,Late 1st,FALSE,0.2602752825268038,0.3927941176470588,0.5944072297042816,TRUE,FALSE,0,-0.2972036148521408,0.2972036148521408
DennDa00,Darqueze Dennard,CIN,2014,CB,Late 1st,FALSE,0.12933662019721184,0.31970588235294123,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
VerrJa00,Jason Verrett,LAC,2014,CB,Late 1st,FALSE,0.11392332539952398,0.2972058823529412,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
SmitMa03,Marcus Smith,PHI,2014,LB,Late 1st,FALSE,0.04983083985039103,0.1413235294117647,-0.8036273004092015,TRUE,FALSE,0,0,-0.8036273004092015
BucaDe00,Deone Bucannon,ARI,2014,CB,Late 1st,TRUE,0.3537487249234954,0.7463235294117647,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
BenjKe00,Kelvin Benjamin,CAR,2014,WR,Late 1st,FALSE,0.1883106617647059,0.5361764705882354,0.12050516789925936,FALSE,TRUE,0,0,0.12050516789925936
EaslDo00,Dominique Easley,NWE,2014,DL,Late 1st,FALSE,0.11117712661272688,0.2208823529411765,0.2309999195681216,TRUE,FALSE,0,-0.1154999597840608,0.1154999597840608
WardJi01,Jimmie Ward,SFO,2014,S,Late 1st,FALSE,0.17449612786290986,0.4260294117647059,-1.1099795447264005,FALSE,TRUE,0.5549897723632002,0,-0.5549897723632002
RobyBr00,Bradley Roby,DEN,2014,CB,Late 1st,FALSE,0.27507752465147894,0.6511764705882349,0.08046471267687343,FALSE,TRUE,0,0,0.08046471267687343
BridTe00,Teddy Bridgewater,MIN,2014,QB,Late 1st,FALSE,0.4749133724229241,0.4313235294117647,-0.01464865016940941,FALSE,TRUE,0.007324325084704705,0,-0.007324325084704705
